Symbol,Market,MinMove,TradingUnits,MarginRatio,TradingCost,Slip
if,sf,0.2,300,0.4,0.0000253,2
ih,sf,0.2,300,0.4,0.0000253,2
ic,sf,0.2,200,0.4,0.0000253,2
tf,sf,0.005,10000,0.022,3.3,2
t,sf,0.005,10000,0.03,3.3,2
a,dc,1,10,0.08,2.2,2
ag,sc,1,15,0.13,0.000055,2
al,sc,5,5,0.09,3.3,2
au,sc,0.05,1000,0.11,11,2
b,dc,1,10,0.08,2.2,2
bb,dc,0.05,500,0.22,0.00011,2
bu,sc,2,10,0.11,0.000055,2
c,dc,1,10,0.08,1.32,2
cf,zc,5,5,0.09,4.73,2
cs,dc,1,10,0.08,1.65,2
cu,sc,10,5,0.12,0.000055,2
fb,dc,0.05,500,0.23,0.00011,2
fg,zc,1,20,0.09,3.3,2
fu,sc,1,50,0.25,0.000022,2
hc,sc,1,10,0.09,0.000044,2
i,dc,0.5,100,0.09,0.000066,2
j,dc,0.5,100,0.09,0.000066,2
jd,dc,1,10,0.11,0.000165,2
jm,dc,0.5,60,0.09,0.000066,2
jr,zc,1,20,0.08,3.3,2
l,dc,5,5,0.1,2.2,2
lr,zc,1,20,0.08,3.3,2
m,dc,1,10,0.08,1.65,2
ma,zc,1,10,0.11,1.54,2
ni,sc,10,1,0.11,6.6,2
oi,zc,2,10,0.08,2.75,2
p,dc,2,10,0.09,2.75,2
pb,sc,5,5,0.1,0.000044,2
pm,zc,1,20,0.08,5.5,2
pp,dc,1,5,0.1,0.000055,2
rb,sc,1,10,0.1,0.0000495,2
ri,zc,1,20,0.08,2.75,2
rm,zc,1,10,0.08,1.65,2
rs,zc,1,10,0.08,2.2,2
ru,sc,5,10,0.11,0.0000495,2
sf,zc,2,5,0.08,3.3,2
sm,zc,2,5,0.08,3.3,2
sn,sc,10,1,0.08,3.3,2
sr,zc,1,10,0.09,3.3,2
ta,zc,2,5,0.09,3.3,2
tc,zc,0.2,100,0.08,8.8,2
zc,zc,0.2,100,0.08,8.8,2
v,dc,5,5,0.1,2.2,2
wh,zc,1,20,0.08,2.75,2
wr,sc,1,10,0.23,0.000044,2
y,dc,2,10,0.09,2.75,2
zn,sc,5,5,0.1,3.3,2
